check_type,check_type_description,check_name,check_name_description,check_tables,check_category,check_phase
dc,Data Cycle Changes,dc_pd,full person table,person,Consistency,Phase I
dc,Data Cycle Changes,dc_dr,full drug exposure table,drug_exposure,Consistency,Phase I
dc,Data Cycle Changes,dc_co,full condition occurrence table,condition_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_adt,full adt occurrence table,adt_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_de,full device exposure,device_exposure,Consistency,Phase I
dc,Data Cycle Changes,dc_im,full immunizations,immunization,Consistency,Phase I
dc,Data Cycle Changes,dc_vi,full visit table,visit_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_mv,full vitals,measurement_vitals,Consistency,Phase I
dc,Data Cycle Changes,dc_ml,full labs,measurement_labs,Consistency,Phase I
dc,Data Cycle Changes,dc_cop,outpatient condition headers,condition_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_ci,inpatient condition headers,condition_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_ced,ed condition headers,condition_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_cop_cb,condition op billing diagnoses,condition_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_cop_cc,condition op order diagnoses,condition_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_ci_cc,condition ip order diagnoses,condition_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_ci_cb,condition ip billing diagnoses,condition_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_adt_picu,picu from adt table,adt_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_adt_nicu,nicu from adt table,adt_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_adt_cicu,cicu from adt table,adt_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_vo_office,outpatient office visits,visit_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_vo_labs,outpatient lab visits,visit_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_vo_th,outpatient telehealth visits,visit_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_vo_oa,outpatient other ambulatory visits,visit_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_vip,inpatient 9201 visits,visit_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_vip_ipcombined,inpatient or ed to inpatient,visit_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_vob,observation visit types,visit_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_dp,drug prescriptions,drug_exposure,Consistency,Phase I
dc,Data Cycle Changes,dc_di,inpatient drug administrations,drug_exposure,Consistency,Phase I
dc,Data Cycle Changes,dc_pr,all procedures,procedure_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_pb,billed procedures,procedure_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_po,ordered procedures,procedure_occurrence,Consistency,Phase I
dc,Data Cycle Changes,dc_ma,measured anthropometrics,measurement_anthro,Consistency,Phase I
dc,Data Cycle Changes,dc_co_ml_covid,c19 diagnosed patients with labs,condition_occurrence; measurement_labs,Consistency,Phase I
dc,Data Cycle Changes,dc_cs,full care site table,care_site,Consistency,Phase I
dc,Data Cycle Changes,dc_pv,full provider table,provider,Consistency,Phase I
dc,Data Cycle Changes,dc_sp,full specialty table,specialty,Consistency,Phase I
vc,Vocabulary Conformance,vc_pr_cid,procedure_concept_id,procedure_occurrence,Conformance,Phase I
vc,Vocabulary Conformance,vc_co_cscid,condition_source_concept_id,condition_occurrence,Conformance,Phase I
vc,Vocabulary Conformance,vc_im_dose,imm_dose_unit_concept_id,immunization,Conformance,Phase I
vc,Vocabulary Conformance,vc_dt_cause_cid,death cause_concept_id,death,Conformance,Phase I
vc,Vocabulary Conformance,vc_co_cid,condition_concept_id,condition_occurrence,Conformance,Phase I
vc,Vocabulary Conformance,vc_dr_cid,drug_concept_id,drug_exposure,Conformance,Phase I
vc,Vocabulary Conformance,vc_im_cid,immunization_concept_id,immunization,Conformance,Phase I
vc,Vocabulary Conformance,vc_dr_dose,dose_unit_concept_id,drug_exposure,Conformance,Phase I
vs,Valueset Conformance,vs_adt_cid,adt occurrence service_concept_id,adt_occurrence,Conformance,Phase I
vs,Valueset Conformance,vs_adt_tcid,adt_type_concept_id,adt_occurrence,Conformance,Phase I
vs,Valueset Conformance,vs_ob_cid,observation_concept_id,observation,Conformance,Phase I
vs,Valueset Conformance,vs_im_route_cid,imm_route_concept_id,immunization,Conformance,Phase I
vs,Valueset Conformance,vs_pd_race_cid,person race_concept_id,person,Conformance,Phase I
vs,Valueset Conformance,vs_pd_eth_cid,person ethnicity_concept_id,person,Conformance,Phase I
uc,Unmapped Concepts,uc_dr,all drugs (any drug_concept_id),drug_exposure,Conformance,Phase I
uc,Unmapped Concepts,uc_di,inpatient administrations (drug_concept_id where drug_type_concept_id == 38000180),drug_exposure,Conformance,Phase I
uc,Unmapped Concepts,uc_dp,prescription drugs (drug_concept_id where drug_type_concept_id == 38000177),drug_exposure,Conformance,Phase I
uc,Unmapped Concepts,uc_du,drug dose unit (any dose_unit_concept_id),drug_exposure,Conformance,Phase I
uc,Unmapped Concepts,uc_drt,drug route (any route_concept_id),drug_exposure,Conformance,Phase I
uc,Unmapped Concepts,uc_co,conditions (any condition_concept_id),condition_occurrence,Conformance,Phase I
uc,Unmapped Concepts,uc_ml,all labs (any measurement_concept_id),measurement_labs,Conformance,Phase I
uc,Unmapped Concepts,uc_mlu,lab units (any unit_concept_id),measurement_labs,Conformance,Phase I
uc,Unmapped Concepts,uc_im,immunizations (any immunization_concept_id),immunization,Conformance,Phase I
uc,Unmapped Concepts,uc_imu,immunization dose unit (any imm_dose_unit_concept_id),immunization,Conformance,Phase I
uc,Unmapped Concepts,uc_imrt,immunization route (any imm_route_concept_id),immunization,Conformance,Phase I
uc,Unmapped Concepts,uc_pr,all procedures (any procedure concept_id),procedure_occurrence,Conformance,Phase I
uc,Unmapped Concepts,uc_po,ordered procedures (procedure_concept_id where procedure_type_concept_id == 2000001494 or 38000275),procedure_occurrence,Conformance,Phase I
uc,Unmapped Concepts,uc_pb,billed procedures (procedure_concept_id where procedure_type_concept_id == 44786630 or 44786631),procedure_occurrence,Conformance,Phase I
pf,Person Records/Facts,pf_visits_pr,all visits with procedures,visit_occurrence; procedure_occurrence,Completeness,Phase I
pf,Person Records/Facts,pf_visits_co,all visits with conditions,visit_occurrence; condition_occurrence,Completeness,Phase I
pf,Person Records/Facts,pf_dr,all visits with drugs,visit_occurrence; drug_exposure,Completeness,Phase I
pf,Person Records/Facts,pf_visits_prdr,all visits with procedures and drugs,visit_occurrence; procedure_occurrence; drug_exposure,Completeness,Phase I
pf,Person Records/Facts,pf_visits_ml,all visits with labs,visit_occurrence; measurement_labs,Completeness,Phase I
